defcount,addr_state,ERcount,Schcount,Curcount,DTI,income,shortcount,longcount,Period,ER_rate,Def_rate,termRatio
62,MI,140,37,1576,17.156501240694773,64420.45636889992,981,228,2012-01-01,0.07713498622589532,0.03415977961432507,0.2324159021406728
44,NV,84,20,1043,17.01487373737373,63960.996590909075,659,133,2012-01-01,0.07052896725440806,0.036943744752308987,0.20182094081942337
35,WI,87,16,863,17.53937602627256,61906.870229885055,479,130,2012-01-01,0.08691308691308691,0.03496503496503497,0.27139874739039666
532,CA,1237,331,12994,15.59672523445086,71874.52678020907,7889,1388,2012-01-01,0.08195309394461375,0.035245793030343184,0.17594118392698693
54,CT,142,46,1264,16.209374275782164,76726.71384704519,677,186,2012-01-01,0.09428950863213811,0.035856573705179286,0.27474150664697194
4,MT,18,4,207,18.765030674846617,57052.89417177914,136,27,2012-01-01,0.07725321888412018,0.017167381974248927,0.19852941176470587
4,VT,10,1,161,19.451984732824425,59982.62595419848,99,32,2012-01-01,0.056818181818181816,0.022727272727272728,0.32323232323232326
77,MD,170,59,1735,16.553274111675155,76641.67540609137,927,255,2012-01-01,0.08329250367466928,0.037726604605585495,0.2750809061488673
7,DE,28,6,178,17.99546218487395,68403.12470588235,90,29,2012-01-01,0.1278538812785388,0.0319634703196347,0.32222222222222224
53,MO,131,29,1218,17.68167061611374,63521.68355450237,646,198,2012-01-01,0.09154437456324249,0.037037037037037035,0.3065015479876161
74,IL,277,67,2950,16.465989252564714,72560.0877479238,1667,380,2012-01-01,0.08224465558194774,0.021971496437054632,0.22795440911817635
58,WA,133,41,1669,16.607266069975594,67550.24865744509,1018,211,2012-01-01,0.06996317727511836,0.03051025775907417,0.20726915520628683
30,AL,83,21,948,18.393309352517974,65390.868863309355,518,177,2012-01-01,0.0767097966728281,0.027726432532347505,0.3416988416988417
73,OH,199,81,2260,18.046842783505156,64866.20528350514,1209,343,2012-01-01,0.07615767317259854,0.027937236892460773,0.2837055417700579
16,NM,27,12,383,18.220503597122313,66284.17431654676,225,53,2012-01-01,0.06164383561643835,0.0365296803652968,0.23555555555555555
69,PA,272,96,2602,17.640658271322245,66171.97833428736,1362,385,2012-01-01,0.08950312602829878,0.022704837117472853,0.28267254038179146
5,SD,9,1,157,19.189250000000005,54296.708666666666,107,13,2012-01-01,0.05232558139534884,0.029069767441860465,0.12149532710280374
224,NY,736,203,7107,15.251952604778706,73596.39195456328,4165,941,2012-01-01,0.08899637243047158,0.027085852478839177,0.22593037214885955
165,TX,515,140,5713,17.54129864041263,73302.02045007035,3531,735,2012-01-01,0.07883055257921323,0.02525639063217511,0.20815632965165676
7,WV,26,11,330,18.07112612612613,62881.94594594595,178,44,2012-01-01,0.06951871657754011,0.01871657754010695,0.24719101123595505
95,GA,221,60,2372,17.20023199023202,74247.2091208791,1302,336,2012-01-01,0.08042212518195051,0.034570596797671035,0.25806451612903225
77,MA,202,85,2100,15.657106413994182,75073.60286443151,1108,264,2012-01-01,0.08198051948051949,0.03125,0.23826714801444043
20,KS,45,13,646,18.11195219123504,61795.13059760956,388,114,2012-01-01,0.062154696132596686,0.027624309392265192,0.29381443298969073
38,CO,149,38,1411,17.05571428571429,67899.05277722278,818,183,2012-01-01,0.0910757946210269,0.023227383863080684,0.2237163814180929
221,FL,491,149,5515,16.93963399348209,65214.81829029833,3320,669,2012-01-01,0.07700752823086575,0.03466122961104141,0.20150602409638554
2,AK,18,4,223,17.52207865168539,70557.32516853932,139,39,2012-01-01,0.0728744939271255,0.008097165991902834,0.2805755395683453
10,AR,46,6,565,17.954255319148928,61573.026004728126,346,77,2012-01-01,0.0733652312599681,0.01594896331738437,0.22254335260115607
21,OK,68,14,596,18.2363963963964,63625.57612612613,360,84,2012-01-01,0.09728183118741059,0.030042918454935622,0.23333333333333334
21,UT,56,16,493,17.01211488250654,65109.16665796344,324,59,2012-01-01,0.09556313993174062,0.03583617747440273,0.18209876543209877
13,HI,37,6,408,18.463829113924042,67311.31594936708,263,53,2012-01-01,0.07974137931034483,0.028017241379310345,0.20152091254752852
138,AZ,469,62,4034,17.253532661683476,69539.05901852454,2329,748,2013-01-01,0.09972358069317457,0.029342972570699552,0.32116788321167883
68,SC,187,35,2084,18.395304755525807,69341.07604822505,1060,433,2013-01-01,0.07877000842459983,0.02864363942712721,0.40849056603773587
64,LA,187,37,2232,18.299944237918197,71637.94605947954,1158,456,2013-01-01,0.0742063492063492,0.025396825396825397,0.39378238341968913
99,MN,322,44,3077,17.272371002132203,68885.39687846482,1727,618,2013-01-01,0.09090909090909091,0.027950310559006212,0.3578459756803706
279,NJ,624,183,7131,15.926909233176824,83710.645614241,3717,1395,2013-01-01,0.07594012413289522,0.033953997809419496,0.37530266343825663
20,DC,81,17,565,14.8226582278481,86475.02184810127,304,91,2013-01-01,0.11859443631039532,0.029282576866764276,0.2993421052631579
85,OR,220,42,2463,16.776125984251962,64079.572041994754,1496,409,2013-01-01,0.07829181494661921,0.030249110320284697,0.2733957219251337
